identifier	type	label	parent	intersection	description	sce	principal quantum number	azimuthal quantum number	magnetic quantum number	see also	depiction
ID	TYPE	AT rdfs:label^^xsd:string	SC %	SC %	AT dc:description^^xsd:string	SC %	SC 'has principal quantum number' value %	SC 'has azimuthal quantum number' value %	SC 'has magnetic quantum number' value %		
ORBITAL:0000208	class	7g₀ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number 0'			7	4	0		
ORBITAL:0000209	class	7g₁ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number +1'			7	4	1		
ORBITAL:0000210	class	7g₋₁ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number +1'			7	4	-1		
ORBITAL:0000211	class	7g₂ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number +2'			7	4	2		
ORBITAL:0000212	class	7g₋₂ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number -2'			7	4	-2		
ORBITAL:0000213	class	7g₃ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number +3'			7	4	3		
ORBITAL:0000214	class	7g₋₃ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number -3'			7	4	-3		
ORBITAL:0000215	class	7g₄ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number +4'			7	4	4		
ORBITAL:0000216	class	7g₋₄ orbital	ORBITAL:0000100	'7g orbital' and 'orbital with magnetic quantum number -4'			7	4	-4		
ORBITAL:0000217	class	7h₀ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number 0'			7	5	0		
ORBITAL:0000218	class	7h₁ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number +1'			7	5	1		
ORBITAL:0000219	class	7h₋₁ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number -1'			7	5	-1		
ORBITAL:0000220	class	7h₂ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number +2'			7	5	2		
ORBITAL:0000221	class	7h₋₂ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number -2'			7	5	-2		
ORBITAL:0000222	class	7h₃ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number +3'			7	5	3		
ORBITAL:0000223	class	7h₋₃ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number -3'			7	5	-3		
ORBITAL:0000224	class	7h₄ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number +4'			7	5	4		
ORBITAL:0000225	class	7h₋₄ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number -4'			7	5	-4		
ORBITAL:0000226	class	7h₅ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number +5'			7	5	5		
ORBITAL:0000227	class	7h₋₅ orbital	ORBITAL:0000100	'7h orbital' and 'orbital with magnetic quantum number -5'			7	5	-5		
ORBITAL:0000228	class	7i₀ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number 0'			7	6	0		
ORBITAL:0000229	class	7i₁ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number +1'			7	6	1		
ORBITAL:0000230	class	7i₋₁ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number -1'			7	6	-1		
ORBITAL:0000231	class	7i₂ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number +2'			7	6	2		
ORBITAL:0000232	class	7i₋₂ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number -2'			7	6	-2		
ORBITAL:0000233	class	7i₃ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number +3'			7	6	3		
ORBITAL:0000234	class	7i₋₃ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number -3'			7	6	-3		
ORBITAL:0000235	class	7i₄ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number +4'			7	6	4		
ORBITAL:0000236	class	7i₋₄ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number -4'			7	6	-4		
ORBITAL:0000237	class	7i₅ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number +5'			7	6	5		
ORBITAL:0000238	class	7i₋₅ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number -5'			7	6	-5		
ORBITAL:0000239	class	7i₆ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number +6'			7	6	6		
ORBITAL:0000240	class	7i₋₆ orbital	ORBITAL:0000100	'7i orbital' and 'orbital with magnetic quantum number -6'			7	6	-6		
ORBITAL:0000300	class	atomic orbital by magnetic quantum number	ORBITAL:0000001			'has magnetic quantum number' some xsd:integer					
ORBITAL:0000301	class	orbital with magnetic quantum number 0	ORBITAL:0000300						0		
ORBITAL:0000302	class	orbital with magnetic quantum number ±1	ORBITAL:0000300			('has magnetic quantum number' value -1) or ('has magnetic quantum number' value 1)					
ORBITAL:0000303	class	orbital with magnetic quantum number -1	ORBITAL:0000302						-1		
ORBITAL:0000304	class	orbital with magnetic quantum number +1	ORBITAL:0000302						1		
ORBITAL:0000305	class	orbital with magnetic quantum number ±2	ORBITAL:0000300			('has magnetic quantum number' value -2) or ('has magnetic quantum number' value 2)					
ORBITAL:0000306	class	orbital with magnetic quantum number +2	ORBITAL:0000305						2		
ORBITAL:0000307	class	orbital with magnetic quantum number -2	ORBITAL:0000305						-2		
ORBITAL:0000308	class	orbital with magnetic quantum number ±3	ORBITAL:0000300			('has magnetic quantum number' value -3) or ('has magnetic quantum number' value 3)					
ORBITAL:0000309	class	orbital with magnetic quantum number +3	ORBITAL:0000308						3		
ORBITAL:0000310	class	orbital with magnetic quantum number -3	ORBITAL:0000308						-3		
ORBITAL:0000311	class	orbital with magnetic quantum number ±4	ORBITAL:0000300			('has magnetic quantum number' value -4) or ('has magnetic quantum number' value 4)					
ORBITAL:0000312	class	orbital with magnetic quantum number +4	ORBITAL:0000311						4		
ORBITAL:0000313	class	orbital with magnetic quantum number -4	ORBITAL:0000311						-4		
ORBITAL:0000314	class	orbital with magnetic quantum number ±5	ORBITAL:0000300			('has magnetic quantum number' value -5) or ('has magnetic quantum number' value 5)					
ORBITAL:0000315	class	orbital with magnetic quantum number +5	ORBITAL:0000314						5		
ORBITAL:0000316	class	orbital with magnetic quantum number -5	ORBITAL:0000314						-5		
ORBITAL:0000317	class	orbital with magnetic quantum number ±6	ORBITAL:0000300			('has magnetic quantum number' value -6) or ('has magnetic quantum number' value 6)					
ORBITAL:0000318	class	orbital with magnetic quantum number +6	ORBITAL:0000317						6		
ORBITAL:0000319	class	orbital with magnetic quantum number -6	ORBITAL:0000317						-6		
