identifier	type	label	parent	intersection	description	sce	principal quantum number	azimuthal quantum number	magnetic quantum number	see also	depiction
ID	TYPE	AT rdfs:label^^xsd:string	SC %	SC %	AT dc:description^^xsd:string	SC %	SC 'has principal quantum number' value %	SC 'has azimuthal quantum number' value %	SC 'has magnetic quantum number' value %		
ORBITAL:0000114	class	3d₋₂ orbital	ORBITAL:0000100	'3d orbital' and 'orbital with magnetic quantum number -2'	Linear combination of cartesian equations 3dxy and 3dx²-y²		3	2	-2		
ORBITAL:0000115	class	4s₀ orbital	ORBITAL:0000100	'4s orbital' and 'orbital with magnetic quantum number 0'			4	0	0		
ORBITAL:0000116	class	4p₀ orbital	ORBITAL:0000100	'4p orbital' and 'orbital with magnetic quantum number 0'	4pz		4	1	0		
ORBITAL:0000117	class	4p₁ orbital	ORBITAL:0000100	'4p orbital' and 'orbital with magnetic quantum number +1'	4px and 4py		4	1	1		
ORBITAL:0000118	class	4p₋₁ orbital	ORBITAL:0000100	'4p orbital' and 'orbital with magnetic quantum number -2'	4px and 4py		4	1	-1		
ORBITAL:0000119	class	4d₀ orbital	ORBITAL:0000100	'4d orbital' and 'orbital with magnetic quantum number 0'	4dz² and 4dxz		4	2	0		
ORBITAL:0000120	class	4d₁ orbital	ORBITAL:0000100	'4d orbital' and 'orbital with magnetic quantum number +1'			4	2	1		
ORBITAL:0000121	class	4d₋₁ orbital	ORBITAL:0000100	'4d orbital' and 'orbital with magnetic quantum number -1'	4dyz and 		4	2	-1		
ORBITAL:0000122	class	4d₂ orbital 	ORBITAL:0000100	'4d orbital' and 'orbital with magnetic quantum number +2'	4dxy and 4dx²-y² 		4	2	2		
ORBITAL:0000123	class	4d₋₂ orbital 	ORBITAL:0000100	'4d orbital' and 'orbital with magnetic quantum number -2'	4dxy and 4dx²-y²		4	2	-2		
ORBITAL:0000124	class	4f₀ orbital	ORBITAL:0000100	'4f orbital' and 'orbital with magnetic quantum number 0'			4	3	0		
ORBITAL:0000125	class	4f₁ orbital	ORBITAL:0000100	'4f orbital' and 'orbital with magnetic quantum number +1'			4	3	1		
ORBITAL:0000126	class	4f₋₁ orbital	ORBITAL:0000100	'4f orbital' and 'orbital with magnetic quantum number -1'			4	3	-1		
ORBITAL:0000127	class	4f₂ orbital	ORBITAL:0000100	'4f orbital' and 'orbital with magnetic quantum number +2'			4	3	2		
ORBITAL:0000128	class	4f₋₂ orbital	ORBITAL:0000100	'4f orbital' and 'orbital with magnetic quantum number -2'			4	3	-2		
ORBITAL:0000129	class	4f₃ orbital	ORBITAL:0000100	'4f orbital' and 'orbital with magnetic quantum number +3'			4	3	3		
ORBITAL:0000130	class	4f₋₃ orbital	ORBITAL:0000100	'4f orbital' and 'orbital with magnetic quantum number -3'			4	3	-3		
ORBITAL:0000131	class	5s₀ orbital	ORBITAL:0000100	'5s orbital' and 'orbital with magnetic quantum number 0'			5	0	0		
ORBITAL:0000132	class	5p₀ orbital	ORBITAL:0000100	'5p orbital' and 'orbital with magnetic quantum number 0'			5	1	0		
ORBITAL:0000133	class	5p₁ orbital	ORBITAL:0000100	'5p orbital' and 'orbital with magnetic quantum number +1'			5	1	1		
ORBITAL:0000134	class	5p₋₁ orbital	ORBITAL:0000100	'5p orbital' and 'orbital with magnetic quantum number -1'			5	1	-1		
ORBITAL:0000135	class	5d₀ orbital	ORBITAL:0000100	'5d orbital' and 'orbital with magnetic quantum number 0'			5	2	0		
ORBITAL:0000136	class	5d₁ orbital	ORBITAL:0000100	'5d orbital' and 'orbital with magnetic quantum number +1'			5	2	1		
ORBITAL:0000137	class	5d₋₁ orbital	ORBITAL:0000100	'5d orbital' and 'orbital with magnetic quantum number -1'			5	2	-1		
ORBITAL:0000138	class	5d₂ orbital	ORBITAL:0000100	'5d orbital' and 'orbital with magnetic quantum number +2'			5	2	2		
ORBITAL:0000139	class	5d₋₂ orbital	ORBITAL:0000100	'5d orbital' and 'orbital with magnetic quantum number -2'			5	2	-2		
ORBITAL:0000140	class	5f₀ orbital	ORBITAL:0000100	'5f orbital' and 'orbital with magnetic quantum number 0'			5	3	0		
ORBITAL:0000141	class	5f₁ orbital	ORBITAL:0000100	'5f orbital' and 'orbital with magnetic quantum number +1'			5	3	1		
ORBITAL:0000142	class	5f₋₁ orbital	ORBITAL:0000100	'5f orbital' and 'orbital with magnetic quantum number -1'			5	3	-1		
ORBITAL:0000143	class	5f₂ orbital	ORBITAL:0000100	'5f orbital' and 'orbital with magnetic quantum number +2'			5	3	2		
ORBITAL:0000144	class	5f₋₂ orbital	ORBITAL:0000100	'5f orbital' and 'orbital with magnetic quantum number -2'			5	3	-2		
ORBITAL:0000145	class	5f₃ orbital	ORBITAL:0000100	'5f orbital' and 'orbital with magnetic quantum number +3'			5	3	3		
ORBITAL:0000146	class	5f₋₃ orbital	ORBITAL:0000100	'5f orbital' and 'orbital with magnetic quantum number -3'			5	3	-3		
ORBITAL:0000147	class	5g₀ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number 0'			5	4	0		
ORBITAL:0000148	class	5g₁ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number +1'			5	4	1		
ORBITAL:0000149	class	5g₋₁ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number -1'			5	4	-1		
ORBITAL:0000150	class	5g₂ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number +2'			5	4	2		
ORBITAL:0000151	class	5g₋₂ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number -2'			5	4	-2		
ORBITAL:0000152	class	5g₃ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number +3'			5	4	3		
ORBITAL:0000153	class	5g₋₃ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number -3'			5	4	-3		
ORBITAL:0000154	class	5g₄ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number +4'			5	4	4		
ORBITAL:0000155	class	5g₋₄ orbital	ORBITAL:0000100	'5g orbital' and 'orbital with magnetic quantum number -4'			5	4	-4		
ORBITAL:0000156	class	6s₀ orbital	ORBITAL:0000100	'6s orbital' and 'orbital with magnetic quantum number 0'			6	0	0		
ORBITAL:0000157	class	6p₀ orbital	ORBITAL:0000100	'6p orbital' and 'orbital with magnetic quantum number 0'			6	1	0		
ORBITAL:0000158	class	6p₁ orbital	ORBITAL:0000100	'6p orbital' and 'orbital with magnetic quantum number +1'			6	1	1		
ORBITAL:0000159	class	6p₋₁ orbital	ORBITAL:0000100	'6p orbital' and 'orbital with magnetic quantum number -1'			6	1	-1		
ORBITAL:0000160	class	6d₀ orbital	ORBITAL:0000100	'6d orbital' and 'orbital with magnetic quantum number 0'			6	2	0		
ORBITAL:0000161	class	6d₁ orbital	ORBITAL:0000100	'6d orbital' and 'orbital with magnetic quantum number +1'			6	2	1		
